Time,Llama-2-7B-GPTQ-fullarticles,Llama-2-70B-GPTQ-headlines,Llama-3-70B-GPTQ-fullarticles,GPT3.5-headlines,Llama-2-70B-GPTQ-fullarticles,finBERT-headlines,Llama-3-8B-GPTQ-fullarticles,Llama-3-70B-GPTQ-headlines,Llama-2-13B-GPTQ-fullarticles,Llama-2-7B-GPTQ-headlines,Llama-2-13b-GGUF-fullarticles,Llama-3-8B-GPTQ-headlines,Llama-2-13B-GPTQ-headlines,Mkt-RF,SMB,HML,RF,Adj Close,Time
2012-04-20,3.6666666666666665,3.3333333333333335,4.666666666666667,3.3333333333333335,3.3333333333333335,2.9357552528381348,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.0,3.6666666666666665,3.0,3.0,0.11,0.54,-0.1,0.0,68.54964447021484,2012-04-20
2012-04-23,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.3333333333333335,2.86961038907369,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.95,-0.56,0.15,0.0,67.52281188964844,2012-04-23
2012-04-24,3.0,4.0,3.0,4.0,3.0,2.63439416885376,3.0,3.0,4.0,3.0,4.0,4.0,3.0,0.29,0.26,0.91,0.0,69.1869888305664,2012-04-24
2012-04-26,3.0,3.0,3.0,3.0,3.0,0.7777616381645203,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.75,-0.02,-0.06,0.0,69.47023010253906,2012-04-26
2012-04-30,3.0,3.0,3.0,3.0,4.0,2.6045989990234375,3.0,3.0,4.0,3.0,4.0,3.0,3.0,-0.49,-0.57,0.0,0.0,69.32860565185547,2012-04-30
2012-05-01,3.0,3.0,3.0,2.5,3.0,1.5702874660491943,3.0,3.0,3.5,3.0,3.0,3.0,3.0,0.48,-0.86,0.41,0.0,70.10758209228516,2012-05-01
2012-05-02,3.0,4.0,3.0,4.0,3.0,2.490407943725586,2.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.15,0.72,-0.67,0.0,70.0013656616211,2012-05-02
2012-05-07,3.0,4.0,4.0,5.0,3.0,2.556330919265747,4.0,4.0,3.0,3.0,3.0,4.0,3.0,0.04,0.14,0.46,0.0,68.40799713134766,2012-05-07
2012-05-09,3.0,2.3333333333333335,3.0,2.3333333333333335,3.0,0.23828506469726562,3.0,1.6666666666666667,3.0,3.0,3.0,1.6666666666666667,2.6666666666666665,-0.62,0.16,-0.24,0.0,66.956298828125,2012-05-09
2012-05-11,4.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.6666666666666665,2.2568387587865195,3.0,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,-0.29,0.27,-1.07,0.0,67.31035614013672,2012-05-11
2012-05-14,3.0,3.0,4.0,3.0,4.0,2.49901819229126,3.0,4.0,4.0,3.0,2.0,3.0,3.0,-1.14,-0.06,-0.16,0.0,65.85865783691406,2012-05-14
2012-05-16,3.5,3.25,4.0,3.75,3.75,2.6067628264427185,3.75,3.5,3.0,3.0,3.0,2.5,3.25,-0.44,-0.16,-0.44,0.0,67.27495574951172,2012-05-16
